"Ref","Key","Item","Attribute","Value"
"e1cib/data/Catalog.Specifications?ref=aa78120ed92fbced11eaf115bcc9c60d","1ed0d1d2-5909-45b0-b262-9dee6e6bd1ba","e1cib/data/Catalog.ItemTypes?ref=aa78120ed92fbced11eaf115bcc9c5f2","e1cib/data/ChartOfCharacteristicTypes.AddAttributeAndProperty?ref=aa78120ed92fbced11eaf114c59ef033","e1cib/data/Catalog.AddAttributeAndPropertyValues?ref=aa78120ed92fbced11eaf115bcc9c5d8"
"e1cib/data/Catalog.Specifications?ref=aa78120ed92fbced11eaf115bcc9c60d","1ed0d1d2-5909-45b0-b262-9dee6e6bd1ba","e1cib/data/Catalog.ItemTypes?ref=aa78120ed92fbced11eaf115bcc9c5f2","e1cib/data/ChartOfCharacteristicTypes.AddAttributeAndProperty?ref=aa78120ed92fbced11eaf114c59ef037","e1cib/data/Catalog.AddAttributeAndPropertyValues?ref=aa78120ed92fbced11eaf115bcc9c5e2"
"e1cib/data/Catalog.Specifications?ref=aa78120ed92fbced11eaf115bcc9c60d","940b0a86-f0d7-45d3-b51c-646a77e134f1","e1cib/data/Catalog.ItemTypes?ref=aa78120ed92fbced11eaf115bcc9c5f2","e1cib/data/ChartOfCharacteristicTypes.AddAttributeAndProperty?ref=aa78120ed92fbced11eaf114c59ef033","e1cib/data/Catalog.AddAttributeAndPropertyValues?ref=aa78120ed92fbced11eaf115bcc9c5d9"
"e1cib/data/Catalog.Specifications?ref=aa78120ed92fbced11eaf115bcc9c60d","940b0a86-f0d7-45d3-b51c-646a77e134f1","e1cib/data/Catalog.ItemTypes?ref=aa78120ed92fbced11eaf115bcc9c5f2","e1cib/data/ChartOfCharacteristicTypes.AddAttributeAndProperty?ref=aa78120ed92fbced11eaf114c59ef037","e1cib/data/Catalog.AddAttributeAndPropertyValues?ref=aa78120ed92fbced11eaf115bcc9c5e2"
"e1cib/data/Catalog.Specifications?ref=aa78120ed92fbced11eaf115bcc9c60d","35bf7a84-cbad-41e7-a92f-61216839dafb","e1cib/data/Catalog.ItemTypes?ref=aa78120ed92fbced11eaf115bcc9c5f2","e1cib/data/ChartOfCharacteristicTypes.AddAttributeAndProperty?ref=aa78120ed92fbced11eaf114c59ef033","e1cib/data/Catalog.AddAttributeAndPropertyValues?ref=aa78120ed92fbced11eaf115bcc9c5da"
"e1cib/data/Catalog.Specifications?ref=aa78120ed92fbced11eaf115bcc9c60d","35bf7a84-cbad-41e7-a92f-61216839dafb","e1cib/data/Catalog.ItemTypes?ref=aa78120ed92fbced11eaf115bcc9c5f2","e1cib/data/ChartOfCharacteristicTypes.AddAttributeAndProperty?ref=aa78120ed92fbced11eaf114c59ef037","e1cib/data/Catalog.AddAttributeAndPropertyValues?ref=aa78120ed92fbced11eaf115bcc9c5e2"
"e1cib/data/Catalog.Specifications?ref=aa78120ed92fbced11eaf11c9f09fc95","488459c7-c0b3-4e87-b9ca-cc763c935342","e1cib/data/Catalog.Items?ref=aa78120ed92fbced11eaf115bcc9c5f3","e1cib/data/ChartOfCharacteristicTypes.AddAttributeAndProperty?ref=aa78120ed92fbced11eaf114c59ef033","e1cib/data/Catalog.AddAttributeAndPropertyValues?ref=aa78120ed92fbced11eaf114c59ef039"
"e1cib/data/Catalog.Specifications?ref=aa78120ed92fbced11eaf11c9f09fc95","488459c7-c0b3-4e87-b9ca-cc763c935342","e1cib/data/Catalog.Items?ref=aa78120ed92fbced11eaf115bcc9c5f3","e1cib/data/ChartOfCharacteristicTypes.AddAttributeAndProperty?ref=aa78120ed92fbced11eaf114c59ef034","e1cib/data/Catalog.AddAttributeAndPropertyValues?ref=aa78120ed92fbced11eaf115bcc9c5dc"
"e1cib/data/Catalog.Specifications?ref=aa78120ed92fbced11eaf11c9f09fc95","78680487-c320-4232-afb3-058cacb55b88","e1cib/data/Catalog.Items?ref=aa78120ed92fbced11eaf115bcc9c5f5","e1cib/data/ChartOfCharacteristicTypes.AddAttributeAndProperty?ref=aa78120ed92fbced11eaf114c59ef033","e1cib/data/Catalog.AddAttributeAndPropertyValues?ref=aa78120ed92fbced11eaf115bcc9c5d7"
"e1cib/data/Catalog.Specifications?ref=aa78120ed92fbced11eaf11c9f09fc95","78680487-c320-4232-afb3-058cacb55b88","e1cib/data/Catalog.Items?ref=aa78120ed92fbced11eaf115bcc9c5f5","e1cib/data/ChartOfCharacteristicTypes.AddAttributeAndProperty?ref=aa78120ed92fbced11eaf114c59ef034","e1cib/data/Catalog.AddAttributeAndPropertyValues?ref=aa78120ed92fbced11eaf115bcc9c5df"
"e1cib/data/Catalog.Specifications?ref=aa78120ed92fbced11eaf11c9f09fc98","3a502699-a22f-4b58-ac69-43b76d27829d","e1cib/data/Catalog.Items?ref=aa78120ed92fbced11eaf115bcc9c5f3","e1cib/data/ChartOfCharacteristicTypes.AddAttributeAndProperty?ref=aa78120ed92fbced11eaf114c59ef033","e1cib/data/Catalog.AddAttributeAndPropertyValues?ref=aa78120ed92fbced11eaf114c59ef039"
"e1cib/data/Catalog.Specifications?ref=aa78120ed92fbced11eaf11c9f09fc98","3a502699-a22f-4b58-ac69-43b76d27829d","e1cib/data/Catalog.Items?ref=aa78120ed92fbced11eaf115bcc9c5f3","e1cib/data/ChartOfCharacteristicTypes.AddAttributeAndProperty?ref=aa78120ed92fbced11eaf114c59ef034","e1cib/data/Catalog.AddAttributeAndPropertyValues?ref=aa78120ed92fbced11eaf115bcc9c5dc"
"e1cib/data/Catalog.Specifications?ref=aa78120ed92fbced11eaf11c9f09fc98","4291aa11-985e-4afc-b5d6-683d59d60c88","e1cib/data/Catalog.Items?ref=aa78120ed92fbced11eaf115bcc9c5f3","e1cib/data/ChartOfCharacteristicTypes.AddAttributeAndProperty?ref=aa78120ed92fbced11eaf114c59ef033","e1cib/data/Catalog.AddAttributeAndPropertyValues?ref=aa78120ed92fbced11eaf114c59ef03a"
"e1cib/data/Catalog.Specifications?ref=aa78120ed92fbced11eaf11c9f09fc98","4291aa11-985e-4afc-b5d6-683d59d60c88","e1cib/data/Catalog.Items?ref=aa78120ed92fbced11eaf115bcc9c5f3","e1cib/data/ChartOfCharacteristicTypes.AddAttributeAndProperty?ref=aa78120ed92fbced11eaf114c59ef034","e1cib/data/Catalog.AddAttributeAndPropertyValues?ref=aa78120ed92fbced11eaf115bcc9c5de"
"e1cib/data/Catalog.Specifications?ref=aa78120ed92fbced11eaf11c9f09fc98","28f2eca4-c368-4d28-bf77-6bcdb2de90ba","e1cib/data/Catalog.Items?ref=aa78120ed92fbced11eaf115bcc9c5f4","e1cib/data/ChartOfCharacteristicTypes.AddAttributeAndProperty?ref=aa78120ed92fbced11eaf114c59ef033","e1cib/data/Catalog.AddAttributeAndPropertyValues?ref=aa78120ed92fbced11eaf115bcc9c5d7"
"e1cib/data/Catalog.Specifications?ref=aa78120ed92fbced11eaf11c9f09fc98","28f2eca4-c368-4d28-bf77-6bcdb2de90ba","e1cib/data/Catalog.Items?ref=aa78120ed92fbced11eaf115bcc9c5f4","e1cib/data/ChartOfCharacteristicTypes.AddAttributeAndProperty?ref=aa78120ed92fbced11eaf114c59ef034","e1cib/data/Catalog.AddAttributeAndPropertyValues?ref=aa78120ed92fbced11eaf115bcc9c5db"
"e1cib/data/Catalog.Specifications?ref=aa78120ed92fbced11eaf11c9f09fc9e","9839814b-ee30-4f9b-a4ec-e87adba8752e","e1cib/data/Catalog.ItemTypes?ref=aa78120ed92fbced11eaf115bcc9c5f0","e1cib/data/ChartOfCharacteristicTypes.AddAttributeAndProperty?ref=aa78120ed92fbced11eaf114c59ef033","e1cib/data/Catalog.AddAttributeAndPropertyValues?ref=aa78120ed92fbced11eaf115bcc9c5d9"
"e1cib/data/Catalog.Specifications?ref=aa78120ed92fbced11eaf11c9f09fc9e","9839814b-ee30-4f9b-a4ec-e87adba8752e","e1cib/data/Catalog.ItemTypes?ref=aa78120ed92fbced11eaf115bcc9c5f0","e1cib/data/ChartOfCharacteristicTypes.AddAttributeAndProperty?ref=aa78120ed92fbced11eaf114c59ef034","e1cib/data/Catalog.AddAttributeAndPropertyValues?ref=aa78120ed92fbced11eaf115bcc9c5db"
"e1cib/data/Catalog.Specifications?ref=aa78120ed92fbced11eaf11c9f09fc9e","7e3c3017-757e-402e-82c2-16d7df0bf21c","e1cib/data/Catalog.ItemTypes?ref=aa78120ed92fbced11eaf115bcc9c5f0","e1cib/data/ChartOfCharacteristicTypes.AddAttributeAndProperty?ref=aa78120ed92fbced11eaf114c59ef033","e1cib/data/Catalog.AddAttributeAndPropertyValues?ref=aa78120ed92fbced11eaf115bcc9c5d7"
"e1cib/data/Catalog.Specifications?ref=aa78120ed92fbced11eaf11c9f09fc9e","7e3c3017-757e-402e-82c2-16d7df0bf21c","e1cib/data/Catalog.ItemTypes?ref=aa78120ed92fbced11eaf115bcc9c5f0","e1cib/data/ChartOfCharacteristicTypes.AddAttributeAndProperty?ref=aa78120ed92fbced11eaf114c59ef034","e1cib/data/Catalog.AddAttributeAndPropertyValues?ref=aa78120ed92fbced11eaf115bcc9c5db"
"e1cib/data/Catalog.Specifications?ref=aa78120ed92fbced11eaf12e233ba2aa","09bbd389-a9f6-4284-94c9-5a74da8e092e","e1cib/data/Catalog.ItemTypes?ref=aa78120ed92fbced11eaf115bcc9c5f0","e1cib/data/ChartOfCharacteristicTypes.AddAttributeAndProperty?ref=aa78120ed92fbced11eaf114c59ef033","e1cib/data/Catalog.AddAttributeAndPropertyValues?ref=aa78120ed92fbced11eaf114c59ef03a"
"e1cib/data/Catalog.Specifications?ref=aa78120ed92fbced11eaf12e233ba2aa","09bbd389-a9f6-4284-94c9-5a74da8e092e","e1cib/data/Catalog.ItemTypes?ref=aa78120ed92fbced11eaf115bcc9c5f0","e1cib/data/ChartOfCharacteristicTypes.AddAttributeAndProperty?ref=aa78120ed92fbced11eaf114c59ef034","e1cib/data/Catalog.AddAttributeAndPropertyValues?ref=aa78120ed92fbced11eaf115bcc9c5de"
"e1cib/data/Catalog.Specifications?ref=aa78120ed92fbced11eaf1336a037abb","c7f3162b-b5ae-4db5-be9c-2cf046ede793","e1cib/data/Catalog.Items?ref=aa78120ed92fbced11eaf115bcc9c5f4","e1cib/data/ChartOfCharacteristicTypes.AddAttributeAndProperty?ref=aa78120ed92fbced11eaf114c59ef033","e1cib/data/Catalog.AddAttributeAndPropertyValues?ref=aa78120ed92fbced11eaf114c59ef03a"
"e1cib/data/Catalog.Specifications?ref=aa78120ed92fbced11eaf1336a037abb","c7f3162b-b5ae-4db5-be9c-2cf046ede793","e1cib/data/Catalog.Items?ref=aa78120ed92fbced11eaf115bcc9c5f4","e1cib/data/ChartOfCharacteristicTypes.AddAttributeAndProperty?ref=aa78120ed92fbced11eaf114c59ef034","e1cib/data/Catalog.AddAttributeAndPropertyValues?ref=aa78120ed92fbced11eaf115bcc9c5db"
"e1cib/data/Catalog.Specifications?ref=aa78120ed92fbced11eaf13dc8cb47d5","fe773e93-b36a-4cea-9e05-7988cb899031","e1cib/data/Catalog.ItemTypes?ref=aa78120ed92fbced11eaf13dc8cb47d0","e1cib/data/ChartOfCharacteristicTypes.AddAttributeAndProperty?ref=aa78120ed92fbced11eaf13dc8cb47cf","e1cib/data/Catalog.AddAttributeAndPropertyValues?ref=aa78120ed92fbced11eaf13dc8cb47d4"
"e1cib/data/Catalog.Specifications?ref=aa78120ed92fbced11eaf13dc8cb47d5","fe773e93-b36a-4cea-9e05-7988cb899031","e1cib/data/Catalog.ItemTypes?ref=aa78120ed92fbced11eaf13dc8cb47d0","e1cib/data/ChartOfCharacteristicTypes.AddAttributeAndProperty?ref=aa78120ed92fbced11eaf13dc8cb47ce","e1cib/data/Catalog.AddAttributeAndPropertyValues?ref=aa78120ed92fbced11eaf13dc8cb47d3"
"e1cib/data/Catalog.Specifications?ref=aa78120ed92fbced11eaf13dc8cb47d5","78b69bbb-0ee1-4edb-b7a7-d1beb4d59a2f","e1cib/data/Catalog.ItemTypes?ref=aa78120ed92fbced11eaf13dc8cb47d0","e1cib/data/ChartOfCharacteristicTypes.AddAttributeAndProperty?ref=aa78120ed92fbced11eaf13dc8cb47cf","e1cib/data/Catalog.AddAttributeAndPropertyValues?ref=aa78120ed92fbced11eaf13dc8cb47d4"
"e1cib/data/Catalog.Specifications?ref=aa78120ed92fbced11eaf13dc8cb47d5","78b69bbb-0ee1-4edb-b7a7-d1beb4d59a2f","e1cib/data/Catalog.ItemTypes?ref=aa78120ed92fbced11eaf13dc8cb47d0","e1cib/data/ChartOfCharacteristicTypes.AddAttributeAndProperty?ref=aa78120ed92fbced11eaf13dc8cb47ce","e1cib/data/Catalog.AddAttributeAndPropertyValues?ref=aa78120ed92fbced11eaf13dc8cb47d2"
